iso3,who_region,neurologists_per100k,accessibility_level,accessibility_raw,stroke_dalys_per100k_agestd_2004,country,wb_income_group,income_bin3,income_bin2
AUS,WPR,2.1,3.0,"Capital, main cities and rural areas",228,Australia,High-income,High-income,High-income
AUT,,,2.0,Capital and main cities only,242,Austria,High-income,High-income,High-income
BEL,,,3.0,"Capital, main cities and rural areas",350,Belgium,High-income,High-income,High-income
BGD,SEAR,0.09,2.0,Capital and main cities only,864,Bangladesh,Lower-middle income,Low / lower-middle,Low / middle
BRA,,,2.0,Capital and main cities only,836,Brazil,Upper-middle income,Upper-middle,Low / middle
BRN,,,2.0,Capital and main cities only,488,,,,
CHE,EUR,13.1,3.0,"Capital, main cities and rural areas",184,Switzerland,High-income,High-income,High-income
CHL,AMR,4.79,2.0,Capital and main cities only,396,Chile,High-income,High-income,High-income
CHN,,,2.0,Capital and main cities only,1072,China,Upper-middle income,Upper-middle,Low / middle
COK,,,3.0,"Capital, main cities and rural areas",955,,,,
CRI,AMR,0.61,,,247,Costa Rica,Upper-middle income,Upper-middle,Low / middle
DEU,,,3.0,"Capital, main cities and rural areas",289,Germany,High-income,High-income,High-income
DNK,,,3.0,"Capital, main cities and rural areas",358,,,,
DOM,AMR,0.69,,,1091,Dominican Republic,Upper-middle income,Upper-middle,Low / middle
EST,,,3.0,"Capital, main cities and rural areas",719,Estonia,High-income,High-income,High-income
FIN,,,3.0,"Capital, main cities and rural areas",394,,,,
FJI,WPR,0.0,3.0,"Capital, main cities and rural areas",1536,,,,
FRA,EUR,3.8,3.0,"Capital, main cities and rural areas",242,France,High-income,High-income,High-income
GRC,,,2.0,Capital and main cities only,522,Greece,High-income,High-income,High-income
GUY,,,2.0,Capital and main cities only,1403,Guyana,Lower-middle income,Low / lower-middle,Low / middle
HUN,EUR,6.6,3.0,"Capital, main cities and rural areas",702,Hungary,High-income,High-income,High-income
IRL,,,3.0,"Capital, main cities and rural areas",280,,,,
IRN,,,3.0,"Capital, main cities and rural areas",764,Iran (Islamic Republic of),Upper-middle income,Upper-middle,Low / middle
ISR,,,3.0,"Capital, main cities and rural areas",211,,,,
ITA,,,3.0,"Capital, main cities and rural areas",287,Italy,High-income,High-income,High-income
JOR,EMR,0.41,2.0,Capital and main cities only,1051,Jordan,Upper-middle income,Upper-middle,Low / middle
JPN,WPR,4.38,3.0,"Capital, main cities and rural areas",425,Japan,High-income,High-income,High-income
KOR,,,3.0,"Capital, main cities and rural areas",625,Republic of Korea,High-income,High-income,High-income
LBN,,,3.0,"Capital, main cities and rural areas",642,Lebanon,Upper-middle income,Upper-middle,Low / middle
LTU,,,3.0,"Capital, main cities and rural areas",645,Lithuania,High-income,High-income,High-income
MAR,,,2.0,Capital and main cities only,502,Morocco,Lower-middle income,Low / lower-middle,Low / middle
MLT,,,3.0,"Capital, main cities and rural areas",356,,,,
MMR,SEAR,0.07,,,953,Myanmar,Lower-middle income,Low / lower-middle,Low / middle
MUS,AFR,0.23,3.0,"Capital, main cities and rural areas",1065,,,,
MYS,,,3.0,"Capital, main cities and rural areas",603,Malaysia,Upper-middle income,Upper-middle,Low / middle
NLD,EUR,6.01,3.0,"Capital, main cities and rural areas",291,Netherlands,High-income,High-income,High-income
NOR,,,3.0,"Capital, main cities and rural areas",283,Norway,High-income,High-income,High-income
OMN,,,1.0,Capital city only,338,Oman,High-income,High-income,High-income
POL,,,3.0,"Capital, main cities and rural areas",616,Poland,High-income,High-income,High-income
QAT,EMR,1.78,2.0,Capital and main cities only,254,,,,
SGP,,,3.0,"Capital, main cities and rural areas",283,Singapore,High-income,High-income,High-income
SVN,,,2.0,Capital and main cities only,493,Slovenia,High-income,High-income,High-income
SWE,EUR,4.2,3.0,"Capital, main cities and rural areas",281,Sweden,High-income,High-income,High-income
SWZ,AFR,0.0,,,994,,,,
TGO,AFR,0.14,1.0,Capital city only,1201,Togo,Low-income,Low / lower-middle,Low / middle
THA,,,2.0,Capital and main cities only,740,Thailand,Upper-middle income,Upper-middle,Low / middle
TTO,,,3.0,"Capital, main cities and rural areas",873,,,,
TUN,EMR,1.58,,,411,Tunisia,Upper-middle income,Upper-middle,Low / middle
TUR,,,3.0,"Capital, main cities and rural areas",1232,Turkey,Upper-middle income,Upper-middle,Low / middle
USA,,,3.0,"Capital, main cities and rural areas",327,United States of America,High-income,High-income,High-income
VNM,,,3.0,"Capital, main cities and rural areas",728,,,,
ZAF,,,2.0,Capital and main cities only,1284,South Africa,Upper-middle income,Upper-middle,Low / middle
