dhs_cc,ctry_code,surv_id,file_type,phase,url
AF,AF,471,BR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFBR71FL.zip&Tp=1&Ctry_Code=AF&surv_id=471&dm=1&dmode=nm
AF,AF,471,CR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFCR71FL.zip&Tp=1&Ctry_Code=AF&surv_id=471&dm=1&dmode=nm
AF,AF,348,HH,66,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFHH66FL.zip&Tp=1&Ctry_Code=AF&surv_id=348&dm=1&dmode=nm
AF,AF,471,HR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFHR71FL.zip&Tp=1&Ctry_Code=AF&surv_id=471&dm=1&dmode=nm
AF,AF,348,IQ,66,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFIQ66FL.zip&Tp=1&Ctry_Code=AF&surv_id=348&dm=1&dmode=nm
AF,AF,471,IR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFIR71FL.zip&Tp=1&Ctry_Code=AF&surv_id=471&dm=1&dmode=nm
AF,AF,471,KR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFKR71FL.zip&Tp=1&Ctry_Code=AF&surv_id=471&dm=1&dmode=nm
AF,AF,471,MR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFMR71FL.zip&Tp=1&Ctry_Code=AF&surv_id=471&dm=1&dmode=nm
AF,AF,471,PR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFPR71FL.zip&Tp=1&Ctry_Code=AF&surv_id=471&dm=1&dmode=nm
AF,AF,348,VA,66,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AFVA66FL.zip&Tp=1&Ctry_Code=AF&surv_id=348&dm=1&dmode=nm
AL,AL,327,BR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALBR51FL.zip&Tp=1&Ctry_Code=AL&surv_id=327&dm=1&dmode=nm
AL,AL,525,BR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALBR71FL.zip&Tp=1&Ctry_Code=AL&surv_id=525&dm=1&dmode=nm
AL,AL,327,CR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALCR51FL.zip&Tp=1&Ctry_Code=AL&surv_id=327&dm=1&dmode=nm
AL,AL,525,CR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALCR71FL.zip&Tp=1&Ctry_Code=AL&surv_id=525&dm=1&dmode=nm
AL,AL,327,HR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALHR51FL.zip&Tp=1&Ctry_Code=AL&surv_id=327&dm=1&dmode=nm
AL,AL,525,HR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALHR71FL.zip&Tp=1&Ctry_Code=AL&surv_id=525&dm=1&dmode=nm
AL,AL,327,IR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALIR51FL.zip&Tp=1&Ctry_Code=AL&surv_id=327&dm=1&dmode=nm
AL,AL,525,IR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALIR71FL.zip&Tp=1&Ctry_Code=AL&surv_id=525&dm=1&dmode=nm
AL,AL,327,KR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALKR51FL.zip&Tp=1&Ctry_Code=AL&surv_id=327&dm=1&dmode=nm
AL,AL,525,KR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALKR71FL.zip&Tp=1&Ctry_Code=AL&surv_id=525&dm=1&dmode=nm
AL,AL,327,MR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALMR51FL.zip&Tp=1&Ctry_Code=AL&surv_id=327&dm=1&dmode=nm
AL,AL,525,MR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALMR71FL.zip&Tp=1&Ctry_Code=AL&surv_id=525&dm=1&dmode=nm
AL,AL,327,PR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALPR51FL.zip&Tp=1&Ctry_Code=AL&surv_id=327&dm=1&dmode=nm
AL,AL,525,PR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALPR71FL.zip&Tp=1&Ctry_Code=AL&surv_id=525&dm=1&dmode=nm
AL,AL,327,GE,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALGE51FL.zip&Tp=2&Ctry_Code=AL&surv_id=327&dm=1&dmode=nm
AL,AL,525,GE,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=ALGE71FL.zip&Tp=2&Ctry_Code=AL&surv_id=525&dm=1&dmode=nm
AO,AO,395,BR,62,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR62FL.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm
AO,AO,477,BR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,BR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOBR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,477,CR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOCR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,CR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOCR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,282,HR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOHR51FL.zip&Tp=1&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm
AO,AO,395,HR,62,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOHR62FL.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm
AO,AO,477,HR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOHR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,HR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOHR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,282,IR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOIR51FL.zip&Tp=1&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm
AO,AO,395,IR,62,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOIR62FL.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm
AO,AO,477,IR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOIR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,IR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOIR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,282,KR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOKR51FL.zip&Tp=1&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm
AO,AO,395,KR,62,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOKR62FL.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm
AO,AO,477,KR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOKR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,KR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOKR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,477,MR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOMR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,MR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOMR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,282,PR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOPR51FL.zip&Tp=1&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm
AO,AO,395,PR,62,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOPR62FL.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm
AO,AO,477,PR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOPR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,PR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOPR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,282,GE,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE52FL.zip&Tp=2&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm
AO,AO,395,GE,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE61FL.zip&Tp=2&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm
AO,AO,477,GE,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE71FL.zip&Tp=2&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,GE,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE81FL.zip&Tp=2&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AM,AM,203,BR,42,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMBR42FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,BR,54,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMBR54FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
